genres,imdb_title,movie_title
Action|Crime|Sci-Fi|Thriller,tt1234721,RoboCop
Action|Family|Sport,tt0811080,Speed Racer
Comedy|Drama|Romance,tt1341188,How Do You Know
Action|Comedy|Romance,tt1013743,Knight and Day
Action|Adventure|Mystery|Sci-Fi,tt1483013,Oblivion
Action|Adventure|Fantasy|Sci-Fi,tt0121766,Star Wars: Episode III - Revenge of the Sith
Action|Adventure|Fantasy|Sci-Fi,tt0121765,Star Wars: Episode II - Attack of the Clones
Adventure|Animation|Comedy|Family|Fantasy,tt0198781,"Monsters, Inc."
Action|Adventure|Sci-Fi|Thriller,tt1430132,The Wolverine
Action|Adventure|Fantasy|Sci-Fi,tt0120915,Star Wars: Episode I - The Phantom Menace
Adventure|Animation|Comedy|Family|Fantasy,tt0481499,The Croods
Adventure|Comedy|Family|Fantasy,tt0463872,Asterix at the Olympic Games
Action|Drama|War,tt0245562,Windtalkers
Action|Adventure|Drama|Fantasy,tt2381991,The Huntsman: Winter's War
Action|Adventure|Comedy|Sci-Fi,tt1291150,Teenage Mutant Ninja Turtles
Adventure|Drama|Sci-Fi|Thriller,tt1454468,Gravity
Action|Adventure|Thriller,tt0118928,Dante's Peak
Action|Adventure|Comedy|Sci-Fi,tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows
Action|Adventure|Sci-Fi,tt1502712,Fantastic Four
Action|Adventure|Comedy|Family|Fantasy,tt0477347,Night at the Museum
Action|Adventure|Drama|Thriller,tt2126355,San Andreas
Action|Adventure|Thriller,tt0120347,Tomorrow Never Dies
Action|Drama|History|War,tt0187393,The Patriot
Crime|Thriller,tt0349903,Ocean's Twelve
Action|Comedy|Crime|Romance|Thriller,tt0356910,Mr. & Mrs. Smith
Adventure|Sci-Fi|Thriller,tt2908446,Insurgent
Adventure|Comedy|Family|Fantasy,tt1320261,Gulliver's Travels
Action|Comedy|Crime|Sci-Fi|Thriller,tt0990407,The Green Hornet
Action|Adventure|Crime,tt0084967,The A-Team
Action|Drama|Fantasy|War,tt1253863,300: Rise of an Empire
Adventure|Animation|Comedy|Family|Fantasy,tt0472181,The Smurfs
Animation|Comedy|Family|Music|Western,tt0299172,Home on the Range
Action|Adventure|Mystery|Sci-Fi|Thriller,tt3410834,Allegiant
Action|Drama|Sci-Fi|Sport,tt0433035,Real Steel
Adventure|Animation|Comedy|Family|Fantasy,tt2017020,The Smurfs 2
Action|Crime|Romance|Thriller,tt0120179,Speed 2: Cruise Control
Action|Sci-Fi,tt1731141,Ender's Game
Action|Adventure|Thriller,tt0337978,Live Free or Die Hard
Action|Adventure|Drama|Fantasy,tt0120737,The Lord of the Rings: The Fellowship of the Ring
Action|Adventure|Comedy,tt0327437,Around the World in 80 Days
Adventure|Comedy|Family|Fantasy,tt0312528,The Cat in the Hat
Action|Mystery|Sci-Fi|Thriller,tt0343818,"I, Robot"
Action|Adventure|Drama|History|War,tt0320661,Kingdom of Heaven
Adventure|Comedy|Family|Fantasy,tt0164912,Stuart Little
Animation|Family|Fantasy|Musical|Romance,tt0780521,The Princess and the Frog
Adventure|Drama|Sci-Fi,tt3659388,The Martian
Action|Adventure|Romance|Sci-Fi|Thriller,tt0399201,The Island
Comedy|Romance,tt0141907,Town & Country
Action|Crime|Thriller,tt0187078,Gone in Sixty Seconds
Action|Drama|Romance,tt0172495,Gladiator
Action|Mystery|Sci-Fi|Thriller,tt0181689,Minority Report
Adventure|Family|Fantasy|Mystery,tt0295297,Harry Potter and the Chamber of Secrets
Action|Adventure|Sci-Fi|Thriller,tt0133152,Planet of the Apes
Action|Sci-Fi,tt0103064,Terminator 2: Judgment Day
Biography|Crime|Drama|History|Romance,tt1152836,Public Enemies
Biography|Crime|Drama,tt0765429,American Gangster
Action|Comedy|Thriller,tt0111503,True Lies
Action|Crime|Thriller,tt1111422,The Taking of Pelham 1 2 3
Comedy|Romance,tt0970866,Little Fockers
Action|Comedy|Crime,tt1386588,The Other Guys
Action|Drama|Mystery|Thriller,tt0116213,Eraser
Drama|Western,tt1853728,Django Unchained
Animation|Drama|Family|Musical|Romance,tt0116583,The Hunchback of Notre Dame
Adventure|Animation|Comedy|Family|Fantasy,tt0120917,The Emperor's New Groove
Action|Adventure|Thriller,tt1764651,The Expendables 2
Action|Adventure|Comedy|Family|Mystery,tt0368891,National Treasure
Adventure|Drama|Family|Fantasy,tt0386117,Where the Wild Things Are
Adventure|Family|Fantasy,tt3332064,Pan
Adventure|Animation|Family|Fantasy,tt0848537,Epic
Action|Romance|Thriller,tt1243957,The Tourist
Action|Fantasy|Horror|Mystery,tt0146675,End of Days
Adventure|Drama|Thriller,tt0450259,Blood Diamond
Biography|Comedy|Crime|Drama,tt0993846,The Wolf of Wall Street
Action|Adventure|Fantasy,tt0112462,Batman Forever
Action|Sci-Fi|War,tt0120201,Starship Troopers
Drama|Sci-Fi,tt1371111,Cloud Atlas
Action|Adventure|Animation|Family|Fantasy,tt1219342,Legend of the Guardians: The Owls of Ga'Hoole
Action|Crime|Fantasy|Romance|Thriller,tt0327554,Catwoman
Action|Adventure,tt1267297,Hercules
Adventure|Animation|Family|Sci-Fi,tt0133240,Treasure Planet
Adventure|Comedy|Sci-Fi,tt0457400,Land of the Lost
Action|Adventure|Thriller,tt2333784,The Expendables 3
Action|Crime|Sport|Thriller,tt2058673,Point Break
Comedy|Family|Fantasy,tt0362165,Son of the Mask
Action|Adventure|Biography|Drama|History|Thriller,tt1390411,In the Heart of the Sea
Action|Comedy|Sci-Fi,tt0180052,The Adventures of Pluto Nash
Action|Drama|Thriller|War,tt0947810,Green Zone
Adventure|Animation|Comedy|Family,tt2452042,The Peanuts Movie
Drama|Mystery|Thriller,tt0120176,The Spanish Prisoner
Action|Adventure|Fantasy|Thriller,tt0209163,The Mummy Returns
Crime|Drama,tt0217505,Gangs of New York
Drama|History|Romance|War,tt1410063,The Flowers of War
Animation|Comedy|Family|Sport,tt0423294,Surf's Up
Comedy|Sci-Fi|Thriller,tt0327162,The Stepford Wives
Drama|History|War,tt0265086,Black Hawk Down
Comedy,tt1790886,The Campaign
Action|Adventure|Sci-Fi,tt0119116,The Fifth Element
Comedy|Drama|Romance,tt1261945,Sex and the City 2
Adventure|Animation|Comedy|Family|Romance,tt0138749,The Road to El Dorado
Adventure|Animation|Comedy|Family,tt1667889,Ice Age: Continental Drift
Drama|Family|Fantasy|Romance,tt1661199,Cinderella
Drama|Fantasy|Thriller,tt0380510,The Lovely Bones
Adventure|Animation|Comedy|Family,tt0266543,Finding Nemo
Action|Adventure|Drama|Fantasy,tt0167260,The Lord of the Rings: The Return of the King
Action|Adventure|Drama|Fantasy,tt0167261,The Lord of the Rings: The Two Towers
Action|Adventure|Fantasy,tt1121096,Seventh Son
Action|Adventure|Fantasy|Thriller,tt0146316,Lara Croft: Tomb Raider
Drama|Mystery|Romance|Sci-Fi|Thriller,tt2209764,Transcendence
Action|Adventure|Sci-Fi|Thriller,tt0163025,Jurassic Park III
Action|Drama|Sci-Fi|Thriller,tt1318514,Rise of the Planet of the Apes
Adventure|Family|Fantasy,tt0416236,The Spiderwick Chronicles
Action|Thriller,tt1606378,A Good Day to Die Hard
Drama|History|War|Western,tt0318974,The Alamo
Action|Adventure|Animation|Family,tt0317705,The Incredibles
Action|Adventure|Comedy,tt0112760,Cutthroat Island
Adventure|Family|Fantasy,tt0814255,Percy Jackson & the Olympians: The Lightning Thief
Adventure|Comedy|Family|Mystery|Sci-Fi,tt0119654,Men in Black
Adventure|Animation|Comedy|Family|Fantasy,tt0120363,Toy Story 2
Action|Thriller,tt0477080,Unstoppable
Action|Comedy|Crime|Thriller,tt0266915,Rush Hour 2
Drama|Fantasy|Horror|Mystery|Thriller,tt0161081,What Lies Beneath
Animation|Comedy|Family|Sci-Fi,tt0844471,Cloudy with a Chance of Meatballs
Action|Adventure|Animation|Comedy|Family,tt1080016,Ice Age: Dawn of the Dinosaurs
Adventure|Comedy|Drama|Fantasy|Romance,tt0359950,The Secret Life of Walter Mitty
Action|Adventure|Comedy|Crime|Thriller,tt0160127,Charlie's Angels
Crime|Drama|Thriller,tt0407887,The Departed
Adventure|Animation|Family|Fantasy|Musical|War,tt0120762,Mulan
Action|Comedy,tt0942385,Tropic Thunder
Crime|Drama|Mystery|Thriller,tt1568346,The Girl with the Dragon Tattoo
Action|Adventure|Thriller,tt0112864,Die Hard with a Vengeance
Action|Adventure|Crime|Mystery|Thriller,tt0988045,Sherlock Holmes
Action|Adventure|Animation|Family|Fantasy|Sci-Fi,tt0230011,Atlantis: The Lost Empire
Adventure|Animation|Comedy|Family|Fantasy|Music,tt2974918,Alvin and the Chipmunks: The Road Chip
Drama|History|Thriller|War,tt0985699,Valkyrie
Action|Comedy,tt0960144,You Don't Mess with the Zohan
Action|Animation|Comedy|Sci-Fi,tt2120120,Pixels
Adventure|Drama|Sci-Fi,tt0212720,A.I. Artificial Intelligence
Comedy|Family|Fantasy|Horror|Mystery,tt0338094,The Haunted Mansion
Drama|Mystery|Sci-Fi|Thriller,tt0118884,Contact
Action|Horror|Sci-Fi|Thriller,tt0164052,Hollow Man
Crime|Mystery|Thriller,tt0373926,The Interpreter
Adventure|Family|Fantasy,tt1854564,Percy Jackson: Sea of Monsters
Action|Adventure|Fantasy,tt0325703,Lara Croft Tomb Raider: The Cradle of Life
Action|Adventure|Comedy|Crime|Mystery|Thriller,tt3110958,Now You See Me 2
Action|Adventure|Romance|Sci-Fi|Thriller,tt0120053,The Saint
Action|Crime|Thriller,tt0266987,Spy Game
Adventure|Sci-Fi|Thriller,tt0183523,Mission to Mars
Adventure|Animation|Comedy|Family|Musical,tt1436562,Rio
Comedy|Drama|Sci-Fi,tt0182789,Bicentennial Man
Action|Drama|Sci-Fi|Thriller,tt0120461,Volcano
Action|Crime|Drama|Thriller,tt0118972,The Devil's Own
Drama|History|Thriller|War,tt0267626,K-19: The Widowmaker
Action|Adventure|Sci-Fi,tt1502712,Fantastic Four
Adventure|Fantasy,tt0082198,Conan the Barbarian
Biography|Drama|Sport,tt0352248,Cinderella Man
Action|Family|Fantasy|Musical,tt1041804,The Nutcracker in 3D
Action|Adventure|Drama|Thriller,tt0117998,Twister
Action|Crime|Thriller,tt0232500,The Fast and the Furious
Adventure|Drama|Romance,tt0162222,Cast Away
Animation|Comedy|Family|Music|Romance,tt0366548,Happy Feet
Action|Mystery|Thriller,tt0372183,The Bourne Supremacy
Action|Adventure|Drama|Thriller,tt0118571,Air Force One
Crime|Thriller,tt0240772,Ocean's Eleven
Action|Adventure|Romance,tt1509767,The Three Musketeers
Animation|Comedy|Family|Fantasy,tt0837562,Hotel Transylvania
Animation|Comedy|Family|Fantasy|Musical|Romance,tt0461770,Enchanted
Crime|Drama|Horror|Mystery|Thriller,tt2243973,Hannibal
Action|Crime|Mystery|Thriller,tt1599348,Safe House
Adventure|Comedy|Family,tt0211181,102 Dalmatians
Action|Comedy|Crime,tt0471042,Tower Heist
Comedy|Romance,tt0457939,The Holiday
Action|Crime|Drama|Mystery|Thriller,tt0120660,Enemy of the State
Comedy|Drama|Romance,tt1230414,It's Complicated
Crime|Thriller,tt0496806,Ocean's Thirteen
Adventure|Animation|Comedy|Family,tt0400717,Open Season
Adventure|Mystery|Sci-Fi,tt1840309,Divergent
Drama|History|War,tt0215750,Enemy at the Gates
Action|Adventure|Comedy|Thriller,tt0327850,The Rundown
Action|Adventure|Comedy|Fantasy,tt0107362,Last Action Hero
Drama|Romance,tt0397535,Memoirs of a Geisha
Action|Crime|Thriller,tt0463985,The Fast and the Furious: Tokyo Drift
Adventure|Animation|Comedy|Family|Fantasy,tt1430607,Arthur Christmas
Drama|Fantasy|Romance,tt0119643,Meet Joe Black
Action|Drama|Thriller,tt0233469,Collateral Damage
Comedy|Drama|Music|Musical,tt0078754,All That Jazz
Adventure|Comedy|Drama|Family|Fantasy,tt1667353,Mirror Mirror
Action|Comedy|Fantasy|Romance,tt0446029,Scott Pilgrim vs. the World
Action|Adventure|Sci-Fi|Thriller,tt0298814,The Core
Comedy|Romance|Sci-Fi,tt0144528,Nutty Professor II: The Klumps
Adventure|Comedy|Mystery,tt0267913,Scooby-Doo
Action|Sci-Fi,tt1343727,Dredd
Comedy|Drama|Fantasy|Romance,tt0389860,Click
Comedy|Fantasy|Horror,tt0083767,Creepshow
Action|Comedy|Family|Fantasy,tt1287468,Cats & Dogs: The Revenge of Kitty Galore
Action|Adventure|Sci-Fi|Thriller,tt0489099,Jumper
Action|Adventure|Fantasy|Horror|Sci-Fi,tt0411477,Hellboy II: The Golden Army
Crime|Drama|History|Mystery|Thriller,tt0443706,Zodiac
